user,location,content,time
jma1991,"Edinburgh, Scotland",RI: There is no golden rule for dealing with batch effects. Try as much as possible to avoid confounding. Most comm… https://t.co/1iA3p7hIxj,2020-07-27 13:50:58
argschwind,"Stanford, CA",Loving the poll system for audience questions used for the virtual #BioC2020 meeting!,2020-07-27 13:50:29
siminaboca,,RT @robertclab: @rafalab Spatially varying genes are mostly marker genes #BioC2020 https://t.co/Ebdci4hfYW,2020-07-27 13:48:09
TaniaGueA,Mexico,"RT @siminaboca: RI: When you see an unexpected result, be skeptical! Best way to check for possible issues in the data etc is EDA, best way…",2020-07-27 13:46:26
lala_maipelo,"San Francisco, CA",RT @robertclab: @rafalab Spatially varying genes are mostly marker genes #BioC2020 https://t.co/Ebdci4hfYW,2020-07-27 13:44:20
DrThero_,Botswana,"RT @Bioconductor: Next up, Rafa @rafalab on work done by many collaborators: ""their work as much as mine"" 👏🏽

""Probabilistic Gene Expressio…",2020-07-27 13:44:08
DrThero_,Botswana,"RT @Bioconductor: We want to make sure everyone feels welcome and included, so please follow our code of conduct across all platforms. Plea…",2020-07-27 13:43:39
siminaboca,,"RI's group is working on collecting datasets across species and tissues to ""combine information across thousands of… https://t.co/n6pV1KAZvY",2020-07-27 13:43:29
DrThero_,Botswana,RT @danicassol: #bioc2020 is starting! Come check out all the posters on @F1000Research!,2020-07-27 13:43:19
DrThero_,Botswana,"RT @siminaboca: Next up, keynote by Rafa Irizarry @rafalab on probabilistic gene expression in single-cell RNAseq. He calls it an ""ode to E…",2020-07-27 13:43:00
robertclab,Barcelona,@rafalab Spatially varying genes are mostly marker genes #BioC2020 https://t.co/Ebdci4hfYW,2020-07-27 13:42:16
_lazappi_,Munich,"RT @siminaboca: Next up, keynote by Rafa Irizarry @rafalab on probabilistic gene expression in single-cell RNAseq. He calls it an ""ode to E…",2020-07-27 13:42:08
DNAed_tech,United States,"RT @F1000Research: We’re thrilled to be supporting #BioC2020! To celebrate, we’re highlighting the awesome @Bioconductor Gateway on @F1000R…",2020-07-27 13:41:57
slavov_n,"Cambridge, USA",@lgatt0 @Bioconductor That is great to hear! Are there lessons we can apply to @SCP_meeting ?,2020-07-27 13:41:29
robertclab,Barcelona,@rafalab preprint on cell-type identification from scRNA-seq data https://t.co/FmzQas40ap #BioC2020,2020-07-27 13:40:49
tangming2005,"Boston, MA",#Bioc2020,2020-07-27 13:40:05
CSoneson,"Basel, Switzerland","RT @atulpdeshpande: If you are attending #bioc2020, please join the conversation in our birds of a feather meeting on accessible and interp…",2020-07-27 13:38:14
CSoneson,"Basel, Switzerland",RT @stephaniehicks: One of my favorite talks that I look forward to every year. @mt_morgan is kicking off #bioc2020 where he always so wond…,2020-07-27 13:37:34
siminaboca,,RT @robertclab: @rafalab showing that the background distribution of expression values of non-expressed genes changes in scRNA-seq data #Bi…,2020-07-27 13:36:34
siminaboca,,"RT @F1000Research: We’re thrilled to be supporting #BioC2020! To celebrate, we’re highlighting the awesome @Bioconductor Gateway on @F1000R…",2020-07-27 13:35:20
robertclab,Barcelona,@rafalab showing that the background distribution of expression values of non-expressed genes changes in scRNA-seq… https://t.co/IFjB6i7yaZ,2020-07-27 13:35:13
siminaboca,,"RT @robertclab: @rafalab making the point that even for an expressed gene, most of its values are zero in scRNA-seq data #BioC2020 https://…",2020-07-27 13:35:09
siminaboca,,RT @stephaniehicks: One of my favorite talks that I look forward to every year. @mt_morgan is kicking off #bioc2020 where he always so wond…,2020-07-27 13:34:58
nextgenseek,NGSland,"RT @siminaboca: Next up, keynote by Rafa Irizarry @rafalab on probabilistic gene expression in single-cell RNAseq. He calls it an ""ode to E…",2020-07-27 13:34:44
robertclab,Barcelona,"@rafalab making the point that even for an expressed gene, most of its values are zero in scRNA-seq data #BioC2020 https://t.co/ROPFa92iAL",2020-07-27 13:33:11
robertclab,Barcelona,@rafalab showing how due to sparsity in scRNA-seq data many markers do not identify well their target cell type… https://t.co/WkZgY9gaCb,2020-07-27 13:30:42
siminaboca,,RI just described work by Will Townes @sandakano https://t.co/nesgql7qVC that proposes multinomial models to deal w… https://t.co/Wxl1bQ9xO0,2020-07-27 13:27:57
drisso1893,Padova,RT @jo_rainer: This talk of @rafalab (Probabilistic Gene Expression Signatures for Single Cell RNA-seq Data) at  the @Bioconductor #Bioc202…,2020-07-27 13:26:51
lelandtlr,"Cambridge, England","RT @siminaboca: RI: When you see an unexpected result, be skeptical! Best way to check for possible issues in the data etc is EDA, best way…",2020-07-27 13:24:13
jo_rainer,Bolzano/Bozen,This talk of @rafalab (Probabilistic Gene Expression Signatures for Single Cell RNA-seq Data) at  the @Bioconductor… https://t.co/WJ50me6djO,2020-07-27 13:23:32
siminaboca,,"Work described at https://t.co/dwNVC9pGTU, first author @stephaniehicks #bioc2020",2020-07-27 13:22:57
drisso1893,Padova,"@rafalab dropping memorable quotes at #BioC2020 
“A p-value of 10^-40 or as I call it 0”

*shows a bunch of t-sne p… https://t.co/wltT88rvvE",2020-07-27 13:22:43
siminaboca,,"RI urges caution with RNAseq results that claim discovery of new cell types. One issue is that scRNA-seq ""produces… https://t.co/2FWHH34Utk",2020-07-27 13:22:21
Bioconductor,Roswell Park Cancer Institute,"RT @siminaboca: Next up, keynote by Rafa Irizarry @rafalab on probabilistic gene expression in single-cell RNAseq. He calls it an ""ode to E…",2020-07-27 13:21:37
spicyJeeravan,"New York, Ny","RT @Bioconductor: We want to make sure everyone feels welcome and included, so please follow our code of conduct across all platforms. Plea…",2020-07-27 13:20:16
spicyJeeravan,"New York, Ny","RT @F1000Research: We’re thrilled to be supporting #BioC2020! To celebrate, we’re highlighting the awesome @Bioconductor Gateway on @F1000R…",2020-07-27 13:19:18
AliciaOshlack,Australia,RT @danicassol: #bioc2020 is starting! Come check out all the posters on @F1000Research!,2020-07-27 13:17:38
fellgernon,Baltimore,"RT @Bioconductor: We want to make sure everyone feels welcome and included, so please follow our code of conduct across all platforms. Plea…",2020-07-27 13:16:40
Bioconductor,Roswell Park Cancer Institute,"RT @F1000Research: We’re thrilled to be supporting #BioC2020! To celebrate, we’re highlighting the awesome @Bioconductor Gateway on @F1000R…",2020-07-27 13:14:53
Bioconductor,Roswell Park Cancer Institute,RT @danicassol: #bioc2020 is starting! Come check out all the posters on @F1000Research! https://t.co/dNnlIXQsF4,2020-07-27 13:14:44
jma1991,"Edinburgh, Scotland","Always check for any possible confounders, especially when something extraordinary has been observed #BioC2020 https://t.co/eIyGBsnlbd",2020-07-27 13:14:11
Bioconductor,Roswell Park Cancer Institute,"RT @atulpdeshpande: If you are attending #bioc2020, please join the conversation in our birds of a feather meeting on accessible and interp…",2020-07-27 13:14:03
Bioconductor,Roswell Park Cancer Institute,RT @stephaniehicks: One of my favorite talks that I look forward to every year. @mt_morgan is kicking off #bioc2020 where he always so wond…,2020-07-27 13:13:53
Bioconductor,Roswell Park Cancer Institute,RT @signormirko: I'm excited to attend the #bioc2020 virtual conference! Only recently I found out that there is a very active #RStats comm…,2020-07-27 13:13:41
Bioconductor,Roswell Park Cancer Institute,"We want to make sure everyone feels welcome and included, so please follow our code of conduct across all platforms… https://t.co/WwzDRlmn86",2020-07-27 13:12:51
rstatstweet,,RT @babasaraki01: A great talk by Professor @rafalab on Single Cell RNA-Seq Data at #BioC2020 #Genomics #rstats https://t.co/jUxIBWUJZu,2020-07-27 13:12:50
rstatstweet,,"RT @Bioconductor: Next up, Rafa @rafalab on work done by many collaborators: ""their work as much as mine"" 👏🏽

""Probabilistic Gene Expressio…",2020-07-27 13:12:48
rstatstweet,,RT @signormirko: I'm excited to attend the #bioc2020 virtual conference! Only recently I found out that there is a very active #RStats comm…,2020-07-27 13:12:44
rstatstweet,,RT @stephaniehicks: One of my favorite talks that I look forward to every year. @mt_morgan is kicking off #bioc2020 where he always so wond…,2020-07-27 13:12:44
statstwitbot,,RT @signormirko: I'm excited to attend the #bioc2020 virtual conference! Only recently I found out that there is a very active #RStats comm…,2020-07-27 13:12:39
siminaboca,,"RI: Before reporting p-vals, look at data! Gives now-classical example of analysis that shows 1/4 of genes are diff… https://t.co/nnIrVV89f0",2020-07-27 13:12:01
babasaraki01,Biostars,A great talk by Professor @rafalab on Single Cell RNA-Seq Data at #BioC2020 #Genomics #rstats https://t.co/jUxIBWUJZu,2020-07-27 13:11:22
drisso1893,Padova,"RT @Bioconductor: Martin @mt_morgan and Levi @LeviWaldron1 started #BioC2020

🎚️ https://t.co/1Dj6CTkWWs
🖥️☁️ https://t.co/CgAANZklBP by @s…",2020-07-27 13:10:11
robertclab,Barcelona,"RT @Bioconductor: Next up, Rafa @rafalab on work done by many collaborators: ""their work as much as mine"" 👏🏽

""Probabilistic Gene Expressio…",2020-07-27 13:08:59
siminaboca,,"RI: When you see an unexpected result, be skeptical! Best way to check for possible issues in the data etc is EDA,… https://t.co/ruUQolr6QW",2020-07-27 13:08:32
danicassol,"Riverside, CA",RT @stephaniehicks: One of my favorite talks that I look forward to every year. @mt_morgan is kicking off #bioc2020 where he always so wond…,2020-07-27 13:06:55
