username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hendrick0403;2020-06-28 06:16;0;4;"What a great last week of mid 2020~ Attending virtual # RECOMB2020 and connect with great peoples there, recording my first # SARSCoV2 poster presentation on @ iscb # ISMB2020 virtual conference # COVID19 track, several final reports and GRANT PROPOSAL DEADLINE!!! # phdlife";;@;# # # # #;"1277184210621456385";https://twitter.com/hendrick0403/status/1277184210621456385
ashissaha123;2020-06-27 10:10;1;11;"Proud to see someone ( @ amatur_r ) from my undergrad university (BUET, Bangladesh) getting the best paper award at @ recomb2020. https://twitter.com/RayanChikhi/status/1276562005726560256 …";;@ @;;"1276880689183502336";https://twitter.com/ashissaha123/status/1276880689183502336
jasmijnbaaijens;2020-06-26 22:00;12;28;"Attending # RECOMB2020 online reminded me how valuable it is to have access to all the talks. For those interested in my talk on strain-aware assembly of genomes from mixed samples, it’s available here: https://youtu.be/QWT9QSvlxEQ . (1/6)";;;#;"1276696917523812353";https://twitter.com/jasmijnbaaijens/status/1276696917523812353
soumitrakp;2020-06-26 17:46;0;3;"Congratulations to both of you @ pashadag, @ amatur_r!";;@ @;;"1276632958313598976";https://twitter.com/soumitrakp/status/1276632958313598976
IliaMinkin;2020-06-26 15:59;0;3;"Congratulations @ amatur_r !";;@;;"1276605916557737991";https://twitter.com/IliaMinkin/status/1276605916557737991
IliaMinkin;2020-06-26 15:46;3;21;"Giving a talk at a virtual conference while being quarantined in a hotel is a quite surreal experience # RECOMB2020";;;#;"1276602649870241792";https://twitter.com/IliaMinkin/status/1276602649870241792
KellerCaponePhD;2020-06-26 15:36;0;2;"Congratulations! Well deserved!";;;;"1276600147502411778";https://twitter.com/KellerCaponePhD/status/1276600147502411778
mahonylab;2020-06-26 15:25;0;2;"Awesome - congrats @ amatur_r !";;@;;"1276597515715043328";https://twitter.com/mahonylab/status/1276597515715043328
pashadag;2020-06-26 14:41;0;10;"Thanks Rayan # RECOMB2020";;;#;"1276586341141225477";https://twitter.com/pashadag/status/1276586341141225477
CamilleMrcht;2020-06-26 13:57;0;3;"Well done :O";;;;"1276575254501097472";https://twitter.com/CamilleMrcht/status/1276575254501097472
