id,permalink,username,text,date
1267606607833247750,https://twitter.com/MedpageOnco/status/1267606607833247750,MedpageOnco,"Sentinel node biopsy achieved ""oncological equivalence"" with neck dissection in patients with operable T1-T2N0 oral and #oropharyngealcancer, reported Renaud Garrel, MD, PhD, of Montpellier University Hospital Center, at virtual #ASCO20. @ASCO 
https://t.co/SFnSuYgqcd",2020-06-01
1267606495350394880,https://twitter.com/fumikochino/status/1267606495350394880,fumikochino,"With #ASCO20 finished, I have so much free time I made this succulent planter. I realize it’s just throwing dirt and some variety cacti I bought online in a decorative ceramic bowl but I feel inordinately proud of myself. ❤️ https://t.co/sdtLktWbRR",2020-06-01
1267605968118059013,https://twitter.com/ATarhiniMDPhD/status/1267605968118059013,ATarhiniMDPhD,Our in-depth analysis of immune related adverse events (irAEs) and the use of immunosuppressants and hormone replacement therapy and the association with clinical outcome @ASCO @MoffittNews @MoffittResearch https://t.co/XxWSXzg6BV,2020-06-01
1267605825994084352,https://twitter.com/VeredStearns/status/1267605825994084352,VeredStearns,Miss everyone #ASCO20 #WLO2020 https://t.co/BoUsDAk5Ni,2020-06-01
1267605812664569856,https://twitter.com/BrasilOncologia/status/1267605812664569856,BrasilOncologia,"Os oncologistas discutiram ontem em #webinar ao vivo os destaques do 3º dia da #ASCO20. Os temas abordados foram #melanoma, #sarcoma, #mutações raras, novas #drogas e potencial agnóstico, #tumores geniturinários, #biomarcadores e #medicina de precisão.  https://t.co/5pV1yw7V03 https://t.co/wNGDmage1C",2020-06-01
1267605100048105478,https://twitter.com/SuparnaWedam/status/1267605100048105478,SuparnaWedam,Miss this inspiring evening in person to celebrate #camarederie #leadership #WWCC #ASCO20 #WLO2020 @VeredStearns @ndenduluri1 @LalehAmiri @SandraSwainMD https://t.co/5tDxG1PBYh https://t.co/TLNDekQi9h,2020-06-01
1267602796599271424,https://twitter.com/PortalOnconews/status/1267602796599271424,PortalOnconews,Estudo de Fase II apresentado no #ASCO20 apresentou taxas de resposta encorajadoras com olaparibe como monoterapia em pts com câncer de mama metastático HER2 negativo com mutação germinativa ou somática BRCA1/2 - https://t.co/nvgfAMrN6K @ASCO #ONCONEWS https://t.co/uJdxRlwUKM,2020-06-01
1267602169638858754,https://twitter.com/dapattmd/status/1267602169638858754,dapattmd,"2019 Women Leaders in Oncology Event - ASCO 
Inspired by #WWCC and women in research #yia ⁦@MdBosserman⁩ ⁦@ConquerCancerFd⁩ @asco ⁦@ndenduluri1⁩ ⁦@TexasOncology⁩ ⁦@TheUSONetwork⁩  https://t.co/jNxTsyuBzK",2020-06-01
1267601281088212998,https://twitter.com/aylaubenthal/status/1267601281088212998,aylaubenthal,"As a community oncologist, I’m thrilled to see this theme. @ASCOPres @ASCO https://t.co/NQlJqQl3BP",2020-06-01
1267600848458317826,https://twitter.com/piripiribiryani/status/1267600848458317826,piripiribiryani,Just convinced my coresident Dr. Brittany Hale @BrittanyJaneHa1 to join #Medtwitter She’s interested in #hemeonc and is fab! #WomeninMedicine @asco @hemoncwomendocs @womeninmeds @prowdwomen,2020-06-01
