username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,,,
TheScientistLLC,4/7/2019 19:29,2,8,,,# #,1.11503E+18,https://twitter.com/TheScientistLLC/status/1115034011578052614,,,,,,
CUCancerCenter,4/7/2019 18:55,1,1,,,# # #,1.11503E+18,https://twitter.com/CUCancerCenter/status/1115025267741929473,,,,,,
Prellisbio,4/7/2019 17:13,3,6,,,# # # # # # # # # #,1.115E+18,https://twitter.com/Prellisbio/status/1114999551302090752,,,,,,
cancerassassin1,4/7/2019 17:05,2,3,,@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @,# #,1.115E+18,https://twitter.com/cancerassassin1/status/1114997731502768128,,,,,,
cancerassassin1,4/7/2019 16:57,1,6,,@,# #,1.115E+18,https://twitter.com/cancerassassin1/status/1114995527408594945,,,,,,
_timos_,4/7/2019 16:45,3,0,,@,# # # # # # # #,1.11499E+18,https://twitter.com/_timos_/status/1114992515516588033,,,,,,
_timos_,4/7/2019 16:45,3,0,,@,# # #,1.11499E+18,https://twitter.com/_timos_/status/1114992513314484224,,,,,,
_timos_,4/7/2019 16:45,3,0,,,# # # # # # # #,1.11499E+18,https://twitter.com/_timos_/status/1114992508893663233,,,,,,
LyssiotisLab,4/7/2019 16:32,1,5,,@ @ @ @,# # #,1.11499E+18,https://twitter.com/LyssiotisLab/status/1114989220207177733,,,,,,
LizCancerHealth,4/7/2019 16:19,2,3,,,#,1.11499E+18,https://twitter.com/LizCancerHealth/status/1114986006485192704,,,,,,
AACR,4/7/2019 16:10,3,14,,@ @NCIDrDoug @,# #,1.11498E+18,https://twitter.com/AACR/status/1114983710741475329,,,,,,
FishburnSimone,4/7/2019 15:53,2,1,,@ @,#,1.11498E+18,https://twitter.com/FishburnSimone/status/1114979477849759744,,,,,,
GENbio,4/7/2019 14:55,0,0,,,# #,1.11496E+18,https://twitter.com/GENbio/status/1114964830274895872,,,,,,
CUCancerCenter,4/7/2019 13:55,1,3,,,# # #,1.11495E+18,https://twitter.com/CUCancerCenter/status/1114949857150734337,,,,,,
KirstenKubler,4/7/2019 13:43,6,8,,@ @ @ @,# # # # #,1.11495E+18,https://twitter.com/KirstenKubler/status/1114946850891685888,,,,,,
