user,location,content,time
NIHDataScience,"Bethesda, MD",RT @harry_caufield: Atul Butte: EHR data is collectively the most expensive in the US - billions of dollars per health system. Yet real wor…,2020-07-14 15:13:09
blucher_a,"Portland, OR",RT @harry_caufield: Atul Butte: EHR data is collectively the most expensive in the US - billions of dollars per health system. Yet real wor…,2020-07-14 15:13:04
iddux,"37°17'50.3""S 12°40'25.5""W","Biofactoid, brilliant idea from @garybader1 once your paper is published, you can biocurate your own pathway… https://t.co/0c6SKJY6Mn",2020-07-14 15:12:29
harry_caufield,"Los Angeles, CA",Atul Butte: EHR data is collectively the most expensive in the US - billions of dollars per health system. Yet real… https://t.co/E0noU96XTG,2020-07-14 15:12:15
AidaOuangraoua,"Sherbrooke, Québec",Great talk by Carolin Kosiol @EvolComp #ISMB2020 on estimating species tree with selection using the PoMo model to… https://t.co/7FLC7Yr1HF,2020-07-14 15:11:32
NIHDataScience,"Bethesda, MD",.@atulbutte describing how UC Health is creating a data warehouse to create a central location for accessing clinic… https://t.co/idoUm6ZJW7,2020-07-14 15:10:29
GersteinLab,,"@atulbutte on EHR: ""the most expensive data out there"" at #ISMB2020 #ISMBODSS",2020-07-14 15:09:33
TheRNAInstitute,"Albany, New York",RT @JonathanGoeke: The @iRnaCosi session will start with a presentation on detection of differential RNA modifications from direct RNA-Seq…,2020-07-14 15:08:29
NIHDataScience,"Bethesda, MD","Did you miss @NLMdirector present on AIBLE at #ISMB2020? See the presentation at https://t.co/FaDN92nXxO

#ISMBODSS #NIHData",2020-07-14 15:07:30
jrRNAscientists,In lab...,RT @iRnaCosi: If you like what you're seeing at @iRnaCosi at #ISMB2020 you will love our journal club series. Watch past events and sign up…,2020-07-14 15:06:44
iRnaCosi,,RT @YosephBarash: What a start for the #iRNA2020 @iRnaCosi  #ISMB2020! 😀I'm told we hit almost 200 attendees💪 today. Stellar keynotes by @a…,2020-07-14 15:06:33
iRnaCosi,,RT @JonathanGoeke: The @iRnaCosi session will start with a presentation on detection of differential RNA modifications from direct RNA-Seq…,2020-07-14 15:05:16
harry_caufield,"Los Angeles, CA",RT @NIHDataScience: Next up is @atulbutte speaking on 10 lessons learned in 10 days about clinical data #interoperability in the #COVID19 c…,2020-07-14 15:04:28
kieranrcampbell,"Toronto, Ontario",RT @benjraphael: STARCH is included in my talk today (7/14) at 3:20p ET at https://t.co/uixLfcY9yX  #ISMB2020,2020-07-14 15:02:29
NIHDataScience,"Bethesda, MD",Next up is @atulbutte speaking on 10 lessons learned in 10 days about clinical data #interoperability in the… https://t.co/Im1ecPgZpj,2020-07-14 15:02:17
_julien_roux,"Basel, Switzerland","RT @iddux: Also today at #FunctionCOSI #ISMB2020 : preliminary results from the 4th Critical Assessment of Function Annotation, CAFA4. Resu…",2020-07-14 15:02:03
blucher_a,"Portland, OR",RT @GersteinLab: #ISMB2020 #ISMBODSS is presenting a new initiative by common fund to create #machinelearning ready data. Exciting opportun…,2020-07-14 15:01:13
gamzeandgursoy,"New Haven, CT",RT @GersteinLab: #ISMB2020 #ISMBODSS is presenting a new initiative by common fund to create #machinelearning ready data. Exciting opportun…,2020-07-14 15:00:41
GersteinLab,,#ISMB2020 #ISMBODSS is presenting a new initiative by common fund to create #machinelearning ready data. Exciting o… https://t.co/pRUQNGBYXx,2020-07-14 14:59:52
markwassy,"Canterbury, England","RT @iddux: Today at #FunctionCOSI #ISMB2020 : @garybader1 is our keynote speaker: ""Gene function prediction using unsupervised biological n…",2020-07-14 14:59:25
blucher_a,"Portland, OR",RT @NIHDataScience: AIBLE will produce over 7-year period: rubrics to evaluate datasets for #MachineLearning readiness; tools to accelerate…,2020-07-14 14:56:57
AidaOuangraoua,"Sherbrooke, Québec",FastMulRFS improves on MulRF for species tree estimation under gene duplication and loss model by significantly dec… https://t.co/ylHEV6IYKb,2020-07-14 14:56:54
blucher_a,"Portland, OR",RT @drsbello: Really appreciate the larger slides for today's talks. Thanks for making the change #ISMB2020,2020-07-14 14:56:51
NIHDataScience,"Bethesda, MD",AIBLE will produce over 7-year period: rubrics to evaluate datasets for #MachineLearning readiness; tools to accele… https://t.co/2dIVG56HEu,2020-07-14 14:56:28
drsbello,,Really appreciate the larger slides for today's talks. Thanks for making the change #ISMB2020,2020-07-14 14:56:23
cosi_sysmod,,@marianna_raps from @IBMResearch Zurich starts the second day of @SysMod/#ISMB2020 describing  stochastic hybrid mo… https://t.co/dGRxOgIzm8,2020-07-14 14:56:21
blucher_a,"Portland, OR",RT @NIHDataScience: Data design centers won't be same as traditional data coordinating centers. Key issues to address here are data provena…,2020-07-14 14:55:22
CamilleMrcht,,RT @JonathanGoeke: The @iRnaCosi session will start with a presentation on detection of differential RNA modifications from direct RNA-Seq…,2020-07-14 14:55:14
blucher_a,"Portland, OR","RT @NIHDataScience: AIBLE has five key initiatives: data design centers, tools, data enhancement, gold data, and assessing existing data.…",2020-07-14 14:55:11
iddux,"37°17'50.3""S 12°40'25.5""W",RT @auslandcat: Now onto the keynote talk for the Function COSI by Dr. Gary Bader talking about his lab's tool BIONIC (great name!) for gen…,2020-07-14 14:55:03
iddux,"37°17'50.3""S 12°40'25.5""W",RT @Annhled6: After my first cytoscape experience last couple of weeks now I'm learning about unsupervised biological network integration f…,2020-07-14 14:54:58
CamilleMrcht,,RT @LuciaScience: Are you at #ISMB2020 and a New PI/group leader? Join the #jpi_iscbcosi channel on slack and the #JPI social hours on Cafe…,2020-07-14 14:54:48
