username,date,retweets,favorites,geo,mentions,hashtags,id,;permalink,,,,
PriorLab,5/2/2020 19:49,0,1,,@,,1.25673E+18,https://twitter.com/PriorLab/status/1256732578331197440,,,,
mdmanishshah,5/2/2020 19:47,0,3,,@ @ @ @,# # #,1.25673E+18,https://twitter.com/mdmanishshah/status/1256732040956981250,,,,
sidbhat1976,5/2/2020 16:32,1,5,,@ @ @ @ @ @,#8,1.25668E+18,https://twitter.com/sidbhat1976/status/1256682886746517511,,,,
OncLive,5/2/2020 16:15,1,2,,@,#,1.25668E+18,https://twitter.com/OncLive/status/1256678630039662592,,,,
Genialis,5/2/2020 13:31,0,2,,@ @,# #,1.25664E+18,https://twitter.com/Genialis/status/1256637569879564289,,,,
kRasKickers,5/2/2020 13:28,0,3,,@,# # # #,1.25664E+18,https://twitter.com/kRasKickers/status/1256636685401632769,,,,
AACR,5/2/2020 12:45,2,3,,@ @,# #,1.25663E+18,https://twitter.com/AACR/status/1256625771222839296,,,,
OncLive,5/2/2020 12:38,1,1,,@,# #,1.25662E+18,https://twitter.com/OncLive/status/1256624182424670208,,,,
MDEdgeTweets,5/2/2020 12:37,0,0,,,# #,1.25662E+18,https://twitter.com/MDEdgeTweets/status/1256623739200065543,,,,
DJPinato,5/2/2020 12:31,0,0,,@,,1.25662E+18,https://twitter.com/DJPinato/status/1256622345730621441,,,,
CancerTodayMag,5/2/2020 12:30,1,1,,@,# #,1.25662E+18,https://twitter.com/CancerTodayMag/status/1256622001881571329,,,,
DrMSodergren,5/2/2020 12:27,1,7,,@ @ @ @ @ @ @,,1.25662E+18,https://twitter.com/DrMSodergren/status/1256621468781359104,,,,
KatsuakiMaehara,5/2/2020 12:25,0,4,,@,,1.25662E+18,https://twitter.com/KatsuakiMaehara/status/1256620759604064256,,,,
OncLive,5/2/2020 12:15,1,0,,,#,1.25662E+18,https://twitter.com/OncLive/status/1256618250353422341,,,,
Aiims1742,5/2/2020 11:27,4,13,,@ @ @,# # # #,1.25661E+18,https://twitter.com/Aiims1742/status/1256606304015179777,,,,
VivekSubbiah,5/2/2020 11:03,16,39,,@ @,#,1.2566E+18,https://twitter.com/VivekSubbiah/status/1256600248983654402,,,,
CancerResearch,5/2/2020 11:00,2,3,,,# #,1.2566E+18,https://twitter.com/CancerResearch/status/1256599438283493381,,,,
AlisonBirtle,5/2/2020 10:56,0,2,,,,1.2566E+18,https://twitter.com/AlisonBirtle/status/1256598334669836293,,,,
BiotechBeau,5/2/2020 10:01,0,2,,@,,1.25658E+18,https://twitter.com/BiotechBeau/status/1256584634021920768,,,,
BettayebDr,5/2/2020 9:31,0,0,,,,1.25658E+18,https://twitter.com/BettayebDr/status/1256576962052665344,,,,
DrMhidalgo,5/2/2020 9:26,5,30,,,#,1.25658E+18,https://twitter.com/DrMhidalgo/status/1256575704973672454,,,,
VeganEarthling,5/2/2020 9:18,0,0,,@ @ @,# # # # # # # # #,1.25657E+18,https://twitter.com/VeganEarthling/status/1256573803452420097,,,,
VeganEarthling,5/2/2020 9:07,0,0,,@ @ @,# # # # # # # # #,1.25657E+18,https://twitter.com/VeganEarthling/status/1256571078954156035,,,,
CancerNetwrk,5/2/2020 8:55,0,3,,@,,1.25657E+18,https://twitter.com/CancerNetwrk/status/1256567892017102848,,,,
LefrancJu,5/2/2020 8:32,6,25,,@ @,# #,1.25656E+18,https://twitter.com/LefrancJu/status/1256562088983564288,,,,
annalaucis,5/2/2020 8:06,0,0,,,,1.25656E+18,https://twitter.com/annalaucis/status/1256555750962483200,,,,
annalaucis,5/2/2020 8:06,0,3,,@,,1.25656E+18,https://twitter.com/annalaucis/status/1256555652543057920,,,,
DrChowdharyMD,5/2/2020 7:59,2,3,,@,,1.25655E+18,https://twitter.com/DrChowdharyMD/status/1256553805048578048,,,,
annalaucis,5/2/2020 7:53,0,2,,,,1.25655E+18,https://twitter.com/annalaucis/status/1256552489358430208,,,,
annalaucis,5/2/2020 7:52,0,3,,@,,1.25655E+18,https://twitter.com/annalaucis/status/1256552263612588032,,,,
pashtoonkasi,5/2/2020 6:26,16,46,,,# # # # # #,1.25653E+18,https://twitter.com/pashtoonkasi/status/1256530413012561921,,,,
XRBustelo,5/2/2020 3:13,2,9,,@ @ @ @ @ @ @ @ @ @ @ @ @ @,,1.25648E+18,https://twitter.com/XRBustelo/status/1256481900979421185,,,,
OncLive,5/2/2020 2:15,3,3,,@,# #,1.25647E+18,https://twitter.com/OncLive/status/1256467227043401728,,,,
Emily_R_Song,5/2/2020 2:09,0,2,,,,1.25647E+18,https://twitter.com/Emily_R_Song/status/1256465922715521024,,,,
PoorviDesaiMD,5/2/2020 1:58,0,2,,,,1.25646E+18,https://twitter.com/PoorviDesaiMD/status/1256463030549983237,,,,
OncLive,5/2/2020 1:15,1,2,,@,# #,1.25645E+18,https://twitter.com/OncLive/status/1256452121228181504,,,,
Emily_R_Song,5/2/2020 0:16,0,6,,@,,1.25644E+18,https://twitter.com/Emily_R_Song/status/1256437318438830080,,,,
Subree_UMN,5/1/2020 23:51,0,0,,@ @ @,,1.25643E+18,https://twitter.com/Subree_UMN/status/1256431042459832321,,,,
PoorviDesaiMD,5/1/2020 23:50,1,7,,@ @,# # # # #,1.25643E+18,https://twitter.com/PoorviDesaiMD/status/1256430887002136577,,,,
PoorviDesaiMD,5/1/2020 23:50,1,4,,,#,1.25643E+18,https://twitter.com/PoorviDesaiMD/status/1256430862704533504,,,,
PoorviDesaiMD,5/1/2020 23:50,5,21,,,#,1.25643E+18,https://twitter.com/PoorviDesaiMD/status/1256430857654620161,,,,
OncLive,5/1/2020 23:15,0,2,,@,# #,1.25642E+18,https://twitter.com/OncLive/status/1256421925250895872,,,,
oncologician,5/1/2020 22:57,2,5,,,#,1.25642E+18,https://twitter.com/oncologician/status/1256417569734459392,,,,
OncLive,5/1/2020 21:15,1,2,,@,# #,1.25639E+18,https://twitter.com/OncLive/status/1256391727222579203,,,,
OncLive,5/1/2020 20:15,1,1,,@,# #,1.25638E+18,https://twitter.com/OncLive/status/1256376633277190146,,,,
OncLive,5/1/2020 19:00,1,1,,@ @,# #,1.25636E+18,https://twitter.com/OncLive/status/1256357965398970368,,,,
PaulaDBos,5/1/2020 18:29,1,10,,@ @ @ @ @ @,,1.25635E+18,https://twitter.com/PaulaDBos/status/1256350092459728897,,,,
RuthHe12,5/1/2020 18:28,4,9,,,#,1.25635E+18,https://twitter.com/RuthHe12/status/1256349790956380161,,,,
TheCancerLetter,5/1/2020 18:25,8,17,,@ @,,1.25635E+18,https://twitter.com/TheCancerLetter/status/1256348940431220739,,,,
Aiims1742,5/1/2020 18:07,14,52,,@,,1.25634E+18,https://twitter.com/Aiims1742/status/1256344592749940748,,,,
TheCancerLetter,5/1/2020 17:40,2,2,,@,# #,1.25634E+18,https://twitter.com/TheCancerLetter/status/1256337616816963585,,,,
circulogene_bio,5/1/2020 17:37,1,1,,@,# # # # # # # # # # # #,1.25634E+18,https://twitter.com/circulogene_bio/status/1256337021804572672,,,,
CancerResearch,5/1/2020 17:00,0,0,,@,#,1.25633E+18,https://twitter.com/CancerResearch/status/1256327617147400192,,,,
AACR,5/1/2020 16:30,3,9,,,#,1.25632E+18,https://twitter.com/AACR/status/1256320018083536896,,,,
PortalOnconews,5/1/2020 16:04,1,0,,@,#,1.25631E+18,https://twitter.com/PortalOnconews/status/1256313510126067712,,,,
kRasKickers,5/1/2020 15:36,0,0,,,# #,1.25631E+18,https://twitter.com/kRasKickers/status/1256306477775511552,,,,
LizCancerHealth,5/1/2020 15:31,3,1,,@ @ @ @ @,# # # #,1.25631E+18,https://twitter.com/LizCancerHealth/status/1256305324161564672,,,,
LaoSaal,5/1/2020 15:29,0,0,,,# #,1.2563E+18,https://twitter.com/LaoSaal/status/1256304773726236672,,,,
FoundationATCG,5/1/2020 14:56,4,19,,@,#,1.2563E+18,https://twitter.com/FoundationATCG/status/1256296517859762183,,,,
JCellBiol,5/1/2020 14:42,0,4,,,#,1.25629E+18,https://twitter.com/JCellBiol/status/1256292814176096257,,,,
kellimrasmussen,5/1/2020 14:37,3,5,,@ @ @ @,# # # # #,1.25629E+18,https://twitter.com/kellimrasmussen/status/1256291593683824641,,,,
CellPressNews,5/1/2020 14:10,1,4,,,# #,1.25628E+18,https://twitter.com/CellPressNews/status/1256284768636977156,,,,
Onconova_ONTX,5/1/2020 14:01,3,13,,@,# #,1.25628E+18,https://twitter.com/Onconova_ONTX/status/1256282609048596482,,,,
HTGMolecular,5/1/2020 14:00,0,0,,@,# # #,1.25628E+18,https://twitter.com/HTGMolecular/status/1256282333025574912,,,,
AACR,5/1/2020 14:00,2,4,,,#,1.25628E+18,https://twitter.com/AACR/status/1256282274296999936,,,,
TempusLabs,5/1/2020 13:53,4,9,,@,# # #,1.25628E+18,https://twitter.com/TempusLabs/status/1256280562182033411,,,,
NCIMedia,5/1/2020 13:50,13,20,,@ @ @,# # #,1.25628E+18,https://twitter.com/NCIMedia/status/1256279944075726848,,,,
JExpMed,5/1/2020 13:33,0,1,,,#,1.25628E+18,https://twitter.com/JExpMed/status/1256275448008511488,,,,
SWOG,5/1/2020 13:32,1,3,,@ @ @,#,1.25628E+18,https://twitter.com/SWOG/status/1256275293708234752,,,,
SWOG,5/1/2020 13:31,0,1,,@ @,#,1.25628E+18,https://twitter.com/SWOG/status/1256275018767429632,,,,
Subree_UMN,5/1/2020 13:28,0,0,,@ @ @ @,,1.25627E+18,https://twitter.com/Subree_UMN/status/1256274416226439173,,,,
EpgntxEinstein,5/1/2020 13:17,1,2,,@,,1.25627E+18,https://twitter.com/EpgntxEinstein/status/1256271528712380417,,,,
CarlyHFierce,5/1/2020 13:09,0,1,,,#,1.25627E+18,https://twitter.com/CarlyHFierce/status/1256269401302564864,,,,
MM_Oncology,5/1/2020 12:48,2,0,,@ @,# # # # #,1.25626E+18,https://twitter.com/MM_Oncology/status/1256264217004564480,,,,
LifeSciComms,5/1/2020 12:45,0,1,,@,# #,1.25626E+18,https://twitter.com/LifeSciComms/status/1256263460901576706,,,,
CancerResearch,5/1/2020 12:40,2,3,,,# # #,1.25626E+18,https://twitter.com/CancerResearch/status/1256262112906752007,,,,
rachnatshroff,5/1/2020 12:32,1,4,,@,,1.25626E+18,https://twitter.com/rachnatshroff/status/1256260269652623361,,,,
RLobb,5/1/2020 12:31,0,0,,,# #,1.25626E+18,https://twitter.com/RLobb/status/1256260082268069892,,,,
AACR,5/1/2020 12:30,1,0,,,# #,1.25626E+18,https://twitter.com/AACR/status/1256259608177512453,,,,
letswinpc,5/1/2020 12:13,0,0,,,,1.25626E+18,https://twitter.com/letswinpc/status/1256255486552354817,,,,
mdmanishshah,5/1/2020 11:53,2,26,,@ @ @ @MeyerCancer @,# #,1.25625E+18,https://twitter.com/mdmanishshah/status/1256250322533658630,,,,
MM_Oncology,5/1/2020 11:51,2,1,,@ @ @,# # #,1.25625E+18,https://twitter.com/MM_Oncology/status/1256249986460909570,,,,
GIcancerDoc,5/1/2020 11:43,0,3,,@ @,,1.25625E+18,https://twitter.com/GIcancerDoc/status/1256247836611473408,,,,
getsilverbacs1,5/1/2020 11:31,0,0,,,,1.25624E+18,https://twitter.com/getsilverbacs1/status/1256244897310404608,,,,
MM_Oncology,5/1/2020 11:20,4,3,,@ @ @ @ @,# # # # # #,1.25624E+18,https://twitter.com/MM_Oncology/status/1256241976959213573,,,,
CellPressNews,5/1/2020 11:15,1,2,,,# # # #,1.25624E+18,https://twitter.com/CellPressNews/status/1256240712149917696,,,,
CancerNetwrk,5/1/2020 11:02,1,3,,@,,1.25624E+18,https://twitter.com/CancerNetwrk/status/1256237504140845056,,,,
