user,location,content,time
cristobalmd02,"Naucalpan de Juárez, México","Robot-assisted Radical Prostatectomy in surgery in special cases, Patel MD @vipulpatelmd @ARRODRIGUEZMD @smumexico… https://t.co/gN3JYucYlH",2020-06-04 23:59:07
rodrocconi,,@NarjustDumaMD @ASCO @Forbes @TiansterZhang @LatinasInMed @ASCOPost @AmandaBinDC @GlopesMd 😂😂 https://t.co/unub9VbjK5,2020-06-04 23:58:37
doctorpemm,,"RT @NatashaDhawanMD: I was nervous, overwhelmed, and just felt out of place at my first @ASCO (#ASCO19) - this immediately dissipated upon…",2020-06-04 23:58:00
rschilsky,"Alexandria, VA",@ASCO No greater joy than to work @ASCO. Glad I still have 9 months to go!!,2020-06-04 23:56:02
KidneyCancerJ,USA,"Way to go @ASCO, still triumphed virtually! 
🟢#ASCO20 is still accessible 👉🏼https://t.co/5x9IdHWLmK https://t.co/5TUc9TDZOA",2020-06-04 23:55:13
biosimilars101,,"RT @BiosimCenter: Check out our #ASCO20 Virtual #Biosimilars Roundup @ASCO 

Watch here: https://t.co/q6B39J7Gim https://t.co/zx4RmfIBdM",2020-06-04 23:53:57
__Dr_Khalid,"Boston, MA & New York, NY",RT @sinead_toomey: Congratulations to all awardees but especially our @RCSI_Irl StAR MD student Dr Lisa Prior who has been awarded a presti…,2020-06-04 23:52:33
MarcusbsilvaMBA,"New Jersey, USA",RT @NeoGenomics: Accurately identify mutations in NSCLC from circulating tumor DNA (ctDNA) to better understand the tumor profile in 7 cale…,2020-06-04 23:52:29
__Dr_Khalid,"Boston, MA & New York, NY",RT @RCSI_Irl: Congratulations to Dr Lisa Prior who has received a prestigious #ASCO20 #ConquerCancer Young Investigator award. https://t.co…,2020-06-04 23:52:24
mightysophia,"Florida, USA",RT @TheTruthStudio: Ewing sarcoma is a rare and deadly pediatric bone cancer for which there are no approved targeted treatments available…,2020-06-04 23:51:41
ASCOPres,"Alexandria, VA",RT @ASCO: Warm wishes to Rich: Our Chief Medical Officer @rschilsky to retire in February 2021 https://t.co/8WjToAVoVF,2020-06-04 23:48:57
JenSaam,"Salt Lake City, UT",@NarjustDumaMD @ASCO @Forbes @TiansterZhang @LatinasInMed @ASCOPost @AmandaBinDC @GlopesMd Lovely.,2020-06-04 23:48:49
RogerDKlein,"Cleveland, OH","I look forward to participating. Everybody, please follow the link below to register! @FedSocRTP @FedSoc… https://t.co/l6lt4uPbTo",2020-06-04 23:48:26
JFreemanDaily,Seattle area,"15 minutes until #LCSM Chat! #ASCO20 Roundup for #LungCancer. LOTS of great abstracts to discuss!  
Read more here: https://t.co/KtLNwbe11K",2020-06-04 23:46:56
