user,location,content,time
n8pennell,"Cleveland, OH",RT @LucaDezzani: #ASCO20 Twitter Profiles in 391 pictures 🤩(too bad we can only tag 10) https://t.co/exDUGlxq2C,2020-06-02 13:12:36
GeriOncMD,"Pennsylvania, USA",@tmprowell @ASCO When can we see the line up for the educational program?,2020-06-02 13:10:52
n8pennell,"Cleveland, OH",RT @DrRoyHerbstYale: Presenting the ADAURA data now @ASCO @ASCOPost at the plenary session. #ASCO20  The primary endpoint was met with DFS…,2020-06-02 13:10:43
tomleblancMD,"Durham, NC","Early results from #ASCO20 point towards remarkable efficacy of combination HMA, venetoclax, and ivosidenib in IDH1… https://t.co/bsJrXikuSh",2020-06-02 13:10:33
JuJu3327,,#pfizerproud of the work being done to advance critical #cancer research during #COVID19. #ASCO20 #ScienceWillWin… https://t.co/V0iRNrnkt1,2020-06-02 13:10:21
delaFuenteNOnc,,Let keep supporting @ASCO @ConquerCancerFd. https://t.co/O89vQppQb5 https://t.co/FTgXuATiI0,2020-06-02 13:10:12
ChristianRolfo,"University of Maryland, Baltimore",@DrRoyHerbstYale @RicevutoEnrico @ASCO @ASCOPost @AstraZeneca @YaleCancer @Yale @LungMAP Congrats Roy for this game… https://t.co/fBYJTZMp5c,2020-06-02 13:10:08
precisiondiagn4,"Florida, USA","RT @OncLive: Imaging with 18F-DCFPyL-PET/CT outperformed that of standard imaging modalities—such as bone scan, CT,… https://t.co/GQQwcuuVuE",2020-06-02 13:10:04
GeriOncMD,"Pennsylvania, USA","As seen on #ASCO20 website, a few of the leaders of CARG and excellent geriatric oncologists. ⁦@tanyawildes⁩ ⁦… https://t.co/WZ9ksUNAyJ",2020-06-02 13:09:50
lcsmchat,Lung Cancer Social Media Chat,"Join #LCSM Chat this Thursday 6/4 at 5pm PT, 8pm ET for our #ASCO20 Roundup for Lung Cancer. Read more here:… https://t.co/ZyRptJikJL",2020-06-02 13:09:47
