id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
890600720608534528,890237167104118784,1501170733000.0,2017-07-27 08:52:13,-0700,,#SCS17 Q&amp;A Session of keynote by Professor Christine Orengo #ismbeccb #ISMB2017 #ismb #bioinformatics #proteomics  https://t.co/6t6sLFGkhu,en,"['scs17', 'ismbeccb', 'ismb2017', 'ismb', 'bioinformatics', 'proteomics']",[],96121457,96121457,iscbsc,ISCB Student Council,4,08,https://twitter.com/iscbsc/status/890600720608534528,['https://youtu.be/wrECj81APC4'],[],0,,False,3,0,1,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890596656479166465,890215752007024640,1501169764000.0,2017-07-27 08:36:04,-0700,,"@MVickySchneider @EMBL_ABR @MelBioInf @tsonika @abacbs Always happy to talk training with Australian colleagues - great catch-up with @Annette_bioinfo at #ISMB2017, lots achieved, more to do!",en,['ismb2017'],[],272946649,272946649,Slmorg,Dr Sarah Morgan,4,08,https://twitter.com/Slmorg/status/890596656479166465,[],[],0,,False,1,1,0,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,"[{'screen_name': 'MVickySchneider', 'name': 'MVSchneider', 'id': '991600273'}, {'screen_name': 'MelBioInf', 'name': 'MelBioInf', 'id': '107292643'}, {'screen_name': 'tsonika', 'name': 'Dr Sonika Tyagi', 'id': '93743265'}, {'screen_name': 'abacbs', 'name': 'ABACBS', 'id': '2791294782'}]",,,,
890592554370031617,889469237609287680,1501168786000.0,2017-07-27 08:19:46,-0700,,"@pcmasuzzo The day of the week scheduling is by @ISCB and they are looking at this, eg  https://t.co/WHanwGsyas from their president @Alfons_Valencia",en,[],[],583180584,583180584,OBF_BOSC,BOSC,4,08,https://twitter.com/OBF_BOSC/status/890592554370031617,['https://twitter.com/Alfons_Valencia/status/890206097386221568'],[],0,,False,1,0,0,https://twitter.com/Alfons_Valencia/status/890206097386221568,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,"[{'screen_name': 'pcmasuzzo', 'name': 'Paola Masuzzo 🦕', 'id': '438729858'}]",,,,
890554462456229888,890554462456229888,1501159704000.0,2017-07-27 05:48:24,-0700,,Thanks to the people who contributed to this edition of #ismbeccb and all the Belgian delegates. See you in Chicago/Athens @iscbsc @iscb  https://t.co/GNUl26Wxb6,en,['ismbeccb'],[],2805727236,2805727236,RSGBelgium,RSG Belgium,4,05,https://twitter.com/RSGBelgium/status/890554462456229888,[],['https://pbs.twimg.com/media/DFvijgdW0AA1gwa.jpg'],1,https://pbs.twimg.com/media/DFvijgdW0AA1gwa.jpg,False,11,0,4,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890532183714267137,890532183714267137,1501154392000.0,2017-07-27 04:19:52,-0700,,There are only a few days left to submit an abstract for @ISCB-Africa ASBCB conference in Entebbe (10-13 Oct). Submission deadline: 31 July.  https://t.co/B7Ynt2k9mr,en,[],[],2341804116,2341804116,CGGHnews,MRC CGGH,4,04,https://twitter.com/CGGHnews/status/890532183714267137,['https://twitter.com/malariagenomics/status/890530005066944512'],[],0,,False,0,0,0,https://twitter.com/malariagenomics/status/890530005066944512,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890530005066944512,890530005066944512,1501153873000.0,2017-07-27 04:11:13,-0700,,It's not too late to submit an abstract for @ISCB Africa ASBCB conference on #Bioinformatics. Deadline 31 July  https://t.co/lEC3trd3kO  https://t.co/LDtUpXGma1,en,['bioinformatics'],[],3131247683,3131247683,malariagenomics,MalariaGEN,4,04,https://twitter.com/malariagenomics/status/890530005066944512,['http://bit.ly/2vaB7tE'],['https://pbs.twimg.com/media/DFvMQ69XoAARNmQ.jpg'],1,https://pbs.twimg.com/media/DFvMQ69XoAARNmQ.jpg,False,0,0,0,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890400087192596480,890400087192596480,1501122898000.0,2017-07-26 19:34:58,-0700,,"Honored to have been invited to be part of the @iscb task force on Equity, and Inclusion. #iscb_edi  https://t.co/lssI86qf73",en,['iscb_edi'],[],538714687,538714687,monimunozto,"Monica Munoz-Torres, PhD",3,19,https://twitter.com/monimunozto/status/890400087192596480,['https://twitter.com/pjacock/status/889078341843681281'],[],0,,False,3,0,2,https://twitter.com/pjacock/status/889078341843681281,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890237167104118784,890237167104118784,1501084055000.0,2017-07-26 08:47:35,-0700,,#SCS17 Keynote by Professor Christine Orengo #ismbeccb #ismb2017 #Bioinformatics #WomeninBioinformatics #proteomics  https://t.co/LPyNuM1Q03,it,"['scs17', 'ismbeccb', 'ismb2017', 'bioinformatics', 'womeninbioinformatics', 'proteomics']",[],96121457,96121457,iscbsc,ISCB Student Council,3,08,https://twitter.com/iscbsc/status/890237167104118784,['https://youtu.be/kDHIEqQWuEw'],[],0,,False,7,1,3,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890226495322501120,890226495322501120,1501081510000.0,2017-07-26 08:05:10,-0700,,"Great #ISMBECCE but with a very negative ending. Hitting on the weakest participants, as if their results were worth nothing @iscb @iscbsc  https://t.co/8NcFJdcp2c",en,['ismbecce'],[],3505379135,3505379135,AervaI,Philipp Rentzsch,3,08,https://twitter.com/AervaI/status/890226495322501120,[],['https://pbs.twimg.com/media/DFq4KHgXUAEmjPX.jpg'],1,https://pbs.twimg.com/media/DFq4KHgXUAEmjPX.jpg,False,0,0,0,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890208247403204609,888737450704633856,1501077160000.0,2017-07-26 06:52:40,-0700,,.@BioMickWatson ...and please consider that decisions on a big conference planned years ahead imply big risk &amp; cost @ISMBECCB @iscb,en,[],[],245682624,245682624,Alfons_Valencia,AlfonsoValencia,3,06,https://twitter.com/Alfons_Valencia/status/890208247403204609,[],[],0,,False,1,0,2,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,[],,,,
890198488658714624,888737450704633856,1501074833000.0,2017-07-26 06:13:53,-0700,,@BioMickWatson Agreed. Friday to Tuesday must have been one of the worst decisions ever. @iscb,en,[],[],17590177,17590177,martenson,Martenson,3,06,https://twitter.com/martenson/status/890198488658714624,[],[],0,,False,1,0,0,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,"[{'screen_name': 'BioMickWatson', 'name': 'Mick W@tson', 'id': '228586748'}]",,,,
890151087575117824,889158140532600834,1501063532000.0,2017-07-26 03:05:32,-0700,,"@matuskalas @iscb Also #ISMBECCB 2019 in Basel 🇨🇭 will open 21 July Sunday evening, four full days Monday-Thursday - see @ISCB page  https://t.co/4RxfHdGw6h",en,['ismbeccb'],[],583180584,583180584,OBF_BOSC,BOSC,3,03,https://twitter.com/OBF_BOSC/status/890151087575117824,['https://www.iscb.org/ismbeccb2017general/future-ismb-dates'],[],0,,False,1,0,0,,#ISMB2017 OR #ISMB17 OR @iscb,,,,,,,"[{'screen_name': 'matuskalas', 'name': 'Matúš Kalaš', 'id': '3370996024'}, {'screen_name': 'iscb', 'name': 'ISCB News', 'id': '96111619'}]",,,,
