username,date,retweets,favorites,text,geo,mentions,hashtags,id,;permalink
areyesq,2018-07-31 13:54,3,7,"Benilton Carvalho @ benilton talking about @ Bioconductor core data structures. pic.twitter.com/QLff2CgW8G",,@ @,,"1024352607199023105",https://twitter.com/areyesq/status/1024352607199023105
LenovoLegion,2020-09-03 14:26,14,202,"Lenovo Legion x @ PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",,@,,"1301587465258577920",https://twitter.com/LenovoLegion/status/1301587465258577920
AedinCulhane,2018-07-31 11:27,2,2,"Great news. This is an excellent book for learning @ bioconductor and # rstats in genomics. Each chapter has an R package, code, detailed tutorials. No reason not to discover and learn bioconductor. # bioc2018. https://twitter.com/seandavis12/status/1023977048551768064 …",,@,# #,"1024315721403322369",https://twitter.com/AedinCulhane/status/1024315721403322369
areyesq,2018-07-31 10:22,3,15,"Today on # CDSBMexico # BiocLatAm18 @ mt_morgan introducing the @ Bioconductor project. pic.twitter.com/PNWyLK6YA7 – bei Ciencias Genómicas",,@ @,# #,"1024299244142960640",https://twitter.com/areyesq/status/1024299244142960640
AedinCulhane,2018-07-30 23:08,2,1,"Developments in GANS, Autoencoders are very exciting. I was reading Ian Goodfellow's paper during # bioc2018.. https://arxiv.org/abs/1807.07543 . Still trying to understand it all.. but looks interesting. At # ODSC @ SethHWeidman present a nice intro on GANs. The talk is on github.",,@,# #,"1024129590648877057",https://twitter.com/AedinCulhane/status/1024129590648877057
dotdatdas,2018-07-30 22:47,2,3,"While prepping for # Bioc2018 I learned that our review on integrating # singlecell RNA-seq and lineage tracing was published in a (print?) issue but it was too late to update my poster. (It was online in June; I forgot to tweet then too...) Read it here:http://dx.doi.org/10.1002/bies.201800056 …",,,# #,"1024124372741586944",https://twitter.com/dotdatdas/status/1024124372741586944
AedinCulhane,2018-07-30 17:53,7,16,"Analyzing single-cell RNA sequencing data from droplet-based protocols https://bioconductor.org/packages/devel/workflows/vignettes/simpleSingleCell/inst/doc/work-3-tenx.html … @ Bioconductor @ 10xgenomicspic.twitter.com/aBfI3ePQCM",,@ @,,"1024050451224973312",https://twitter.com/AedinCulhane/status/1024050451224973312
AedinCulhane,2018-07-30 17:26,2,3,"Single-cell isoform RNA sequencing (ScISOr-Seq) across thousands of cells reveals isoforms of cerebellar cell types. https://www.biorxiv.org/content/early/2018/07/08/364950 … @ bioconductor",,@,,"1024043539003584513",https://twitter.com/AedinCulhane/status/1024043539003584513
mikelove,2018-07-30 15:32,0,0,"this happened even with regularized methods. obviously, data needs to be normalized, but also showed that ideally there should be no technical confounding across assays. this was just by chance (or maybe tech reps had been added together for one sample, never found out)",,,,"1024014967920648193",https://twitter.com/mikelove/status/1024014967920648193
mikelove,2018-07-30 15:31,0,1,"re: outliers, we did notice a while back (local dataset, not included), that methods could be sensitive to a single sample. by bad luck, one sample had highest seq depth in mRNA and miRNA assays (diff seq expts). we hadn't normalized the counts, and this became the top dim",,,,"1024014692098998273",https://twitter.com/mikelove/status/1024014692098998273
